benchmark,input_size,rank,opcode,mean_count,percentage_of_total
inheritance,1000,5,OP_RETURN,2001.0,7.993129344092035
inheritance,1000,6,OP_SET_GLOBAL,2000.0,7.989134776703683
inheritance,1000,7,OP_JUMP_IF_FALSE,1001.0,3.9985619557401932
inheritance,1000,8,OP_LESS,1001.0,3.9985619557401932
inheritance,1000,9,OP_GET_UPVALUE,1000.0,3.9945673883518413
inheritance,1000,10,OP_GET_LOCAL,1000.0,3.9945673883518413
inheritance,10000,1,OP_GET_GLOBAL,50008.0,20.000479934728876
inheritance,10000,2,OP_CONSTANT,30003.0,11.99956805874401
inheritance,10000,3,OP_POP,30003.0,11.99956805874401
inheritance,10000,4,OP_ADD,30000.0,11.998368221921819
inheritance,10000,5,OP_RETURN,20001.0,7.999312093555276
inheritance,10000,6,OP_SET_GLOBAL,20000.0,7.998912147947879
inheritance,10000,7,OP_JUMP_IF_FALSE,10001.0,3.999856019581337
inheritance,10000,8,OP_LESS,10001.0,3.999856019581337
inheritance,10000,9,OP_GET_UPVALUE,10000.0,3.9994560739739393
inheritance,10000,10,OP_GET_LOCAL,10000.0,3.9994560739739393
inheritance,100000,1,OP_GET_GLOBAL,500008.0,20.00004799934721
inheritance,100000,2,OP_CONSTANT,300003.0,11.999956800587512
inheritance,100000,3,OP_POP,300003.0,11.999956800587512
inheritance,100000,4,OP_ADD,300000.0,11.99983680221949
inheritance,100000,5,OP_RETURN,200001.0,7.999931200935667
inheritance,100000,6,OP_SET_GLOBAL,200000.0,7.99989120147966
inheritance,100000,7,OP_JUMP_IF_FALSE,100001.0,3.999985600195837
inheritance,100000,8,OP_LESS,100001.0,3.999985600195837
inheritance,100000,9,OP_GET_UPVALUE,100000.0,3.99994560073983
inheritance,100000,10,OP_GET_LOCAL,100000.0,3.99994560073983
inheritance,1000000,1,OP_GET_GLOBAL,5000008.0,20.000004799993473
inheritance,1000000,2,OP_CONSTANT,3000003.0,11.999995680005874
inheritance,1000000,3,OP_POP,3000003.0,11.999995680005874
inheritance,1000000,4,OP_ADD,3000000.0,11.999983680022195
inheritance,1000000,5,OP_RETURN,2000001.0,7.999993120009356
inheritance,1000000,6,OP_SET_GLOBAL,2000000.0,7.9999891200147975
inheritance,1000000,7,OP_JUMP_IF_FALSE,1000001.0,3.9999985600019583
inheritance,1000000,8,OP_LESS,1000001.0,3.9999985600019583
inheritance,1000000,9,OP_GET_UPVALUE,1000000.0,3.9999945600073987
inheritance,1000000,10,OP_GET_LOCAL,1000000.0,3.9999945600073987
loops,10000,1,OP_GET_GLOBAL,60003.0,25.531561815203286
loops,10000,2,OP_POP,40001.0,17.020615705380507
loops,10000,3,OP_CONSTANT,30003.0,12.766419164734167
loops,10000,4,OP_JUMP_IF_FALSE,20001.0,8.51052060506776
loops,10000,5,OP_LESS,20001.0,8.51052060506776
loops,10000,6,OP_ADD,20000.0,8.510095100312746
loops,10000,7,OP_SET_GLOBAL,20000.0,8.510095100312746
loops,10000,8,OP_LOOP,10000.0,4.255047550156373
loops,10000,9,OP_DIVIDE,10000.0,4.255047550156373
loops,10000,10,OP_JUMP,5000.0,2.1275237750781866
