benchmark,input_size,run,opcode,count
arithmetic,10000000,1,OP_PRINT,1
arithmetic,10000000,1,OP_JUMP_IF_FALSE,10000001
arithmetic,10000000,1,OP_LOOP,10000000
arithmetic,10000000,1,OP_RETURN,1
arithmetic,10000000,2,OP_CONSTANT,50000003
arithmetic,10000000,2,OP_NIL,1
arithmetic,10000000,2,OP_POP,60000001
arithmetic,10000000,2,OP_GET_GLOBAL,70000003
arithmetic,10000000,2,OP_DEFINE_GLOBAL,3
arithmetic,10000000,2,OP_SET_GLOBAL,50000000
arithmetic,10000000,2,OP_LESS,10000001
arithmetic,10000000,2,OP_ADD,20000000
arithmetic,10000000,2,OP_SUBTRACT,10000000
arithmetic,10000000,2,OP_MULTIPLY,10000000
arithmetic,10000000,2,OP_DIVIDE,10000000
arithmetic,10000000,2,OP_PRINT,1
arithmetic,10000000,2,OP_JUMP_IF_FALSE,10000001
arithmetic,10000000,2,OP_LOOP,10000000
arithmetic,10000000,2,OP_RETURN,1
arithmetic,10000000,3,OP_CONSTANT,50000003
arithmetic,10000000,3,OP_NIL,1
arithmetic,10000000,3,OP_POP,60000001
arithmetic,10000000,3,OP_GET_GLOBAL,70000003
arithmetic,10000000,3,OP_DEFINE_GLOBAL,3
arithmetic,10000000,3,OP_SET_GLOBAL,50000000
arithmetic,10000000,3,OP_LESS,10000001
arithmetic,10000000,3,OP_ADD,20000000
arithmetic,10000000,3,OP_SUBTRACT,10000000
arithmetic,10000000,3,OP_MULTIPLY,10000000
arithmetic,10000000,3,OP_DIVIDE,10000000
arithmetic,10000000,3,OP_PRINT,1
arithmetic,10000000,3,OP_JUMP_IF_FALSE,10000001
arithmetic,10000000,3,OP_LOOP,10000000
arithmetic,10000000,3,OP_RETURN,1
arithmetic,10000000,4,OP_CONSTANT,50000003
arithmetic,10000000,4,OP_NIL,1
arithmetic,10000000,4,OP_POP,60000001
arithmetic,10000000,4,OP_GET_GLOBAL,70000003
arithmetic,10000000,4,OP_DEFINE_GLOBAL,3
arithmetic,10000000,4,OP_SET_GLOBAL,50000000
arithmetic,10000000,4,OP_LESS,10000001
arithmetic,10000000,4,OP_ADD,20000000
arithmetic,10000000,4,OP_SUBTRACT,10000000
arithmetic,10000000,4,OP_MULTIPLY,10000000
arithmetic,10000000,4,OP_DIVIDE,10000000
arithmetic,10000000,4,OP_PRINT,1
arithmetic,10000000,4,OP_JUMP_IF_FALSE,10000001
arithmetic,10000000,4,OP_LOOP,10000000
arithmetic,10000000,4,OP_RETURN,1
arithmetic,10000000,5,OP_CONSTANT,50000003
arithmetic,10000000,5,OP_NIL,1
arithmetic,10000000,5,OP_POP,60000001
arithmetic,10000000,5,OP_GET_GLOBAL,70000003
arithmetic,10000000,5,OP_DEFINE_GLOBAL,3
arithmetic,10000000,5,OP_SET_GLOBAL,50000000
arithmetic,10000000,5,OP_LESS,10000001
arithmetic,10000000,5,OP_ADD,20000000
arithmetic,10000000,5,OP_SUBTRACT,10000000
arithmetic,10000000,5,OP_MULTIPLY,10000000
arithmetic,10000000,5,OP_DIVIDE,10000000
arithmetic,10000000,5,OP_PRINT,1
arithmetic,10000000,5,OP_JUMP_IF_FALSE,10000001
arithmetic,10000000,5,OP_LOOP,10000000
arithmetic,10000000,5,OP_RETURN,1
arithmetic,1000000,1,OP_CONSTANT,5000003
arithmetic,1000000,1,OP_NIL,1
arithmetic,1000000,1,OP_POP,6000001
arithmetic,1000000,1,OP_GET_GLOBAL,7000003
arithmetic,1000000,1,OP_DEFINE_GLOBAL,3
arithmetic,1000000,1,OP_SET_GLOBAL,5000000
arithmetic,1000000,1,OP_LESS,1000001
arithmetic,1000000,1,OP_ADD,2000000
arithmetic,1000000,1,OP_SUBTRACT,1000000
arithmetic,1000000,1,OP_MULTIPLY,1000000
arithmetic,1000000,1,OP_DIVIDE,1000000
arithmetic,1000000,1,OP_PRINT,1
arithmetic,1000000,1,OP_JUMP_IF_FALSE,1000001
arithmetic,1000000,1,OP_LOOP,1000000
arithmetic,1000000,1,OP_RETURN,1
arithmetic,1000000,2,OP_CONSTANT,5000003
arithmetic,1000000,2,OP_NIL,1
arithmetic,1000000,2,OP_POP,6000001
arithmetic,1000000,2,OP_GET_GLOBAL,7000003
arithmetic,1000000,2,OP_DEFINE_GLOBAL,3
arithmetic,1000000,2,OP_SET_GLOBAL,5000000
arithmetic,1000000,2,OP_LESS,1000001
arithmetic,1000000,2,OP_ADD,2000000
arithmetic,1000000,2,OP_SUBTRACT,1000000
arithmetic,1000000,2,OP_MULTIPLY,1000000
arithmetic,1000000,2,OP_DIVIDE,1000000
arithmetic,1000000,2,OP_PRINT,1
arithmetic,1000000,2,OP_JUMP_IF_FALSE,1000001
arithmetic,1000000,2,OP_LOOP,1000000
arithmetic,1000000,2,OP_RETURN,1
arithmetic,1000000,3,OP_CONSTANT,5000003
arithmetic,1000000,3,OP_NIL,1
arithmetic,1000000,3,OP_POP,6000001
arithmetic,1000000,3,OP_GET_GLOBAL,7000003
arithmetic,1000000,3,OP_DEFINE_GLOBAL,3
arithmetic,1000000,3,OP_SET_GLOBAL,5000000
arithmetic,1000000,3,OP_LESS,1000001
arithmetic,1000000,3,OP_ADD,2000000
arithmetic,1000000,3,OP_SUBTRACT,1000000
arithmetic,1000000,3,OP_MULTIPLY,1000000
arithmetic,1000000,3,OP_DIVIDE,1000000
arithmetic,1000000,3,OP_PRINT,1
arithmetic,1000000,3,OP_JUMP_IF_FALSE,1000001
arithmetic,1000000,3,OP_LOOP,1000000
arithmetic,1000000,3,OP_RETURN,1
arithmetic,1000000,4,OP_CONSTANT,5000003
arithmetic,1000000,4,OP_NIL,1
arithmetic,1000000,4,OP_POP,6000001
arithmetic,1000000,4,OP_GET_GLOBAL,7000003
arithmetic,1000000,4,OP_DEFINE_GLOBAL,3
arithmetic,1000000,4,OP_SET_GLOBAL,5000000
arithmetic,1000000,4,OP_LESS,1000001
arithmetic,1000000,4,OP_ADD,2000000
arithmetic,1000000,4,OP_SUBTRACT,1000000
arithmetic,1000000,4,OP_MULTIPLY,1000000
arithmetic,1000000,4,OP_DIVIDE,1000000
arithmetic,1000000,4,OP_PRINT,1
arithmetic,1000000,4,OP_JUMP_IF_FALSE,1000001
arithmetic,1000000,4,OP_LOOP,1000000
arithmetic,1000000,4,OP_RETURN,1
arithmetic,1000000,5,OP_CONSTANT,5000003
arithmetic,1000000,5,OP_NIL,1
arithmetic,1000000,5,OP_POP,6000001
arithmetic,1000000,5,OP_GET_GLOBAL,7000003
arithmetic,1000000,5,OP_DEFINE_GLOBAL,3
arithmetic,1000000,5,OP_SET_GLOBAL,5000000
arithmetic,1000000,5,OP_LESS,1000001
arithmetic,1000000,5,OP_ADD,2000000
arithmetic,1000000,5,OP_SUBTRACT,1000000
arithmetic,1000000,5,OP_MULTIPLY,1000000
arithmetic,1000000,5,OP_DIVIDE,1000000
arithmetic,1000000,5,OP_PRINT,1
arithmetic,1000000,5,OP_JUMP_IF_FALSE,1000001
arithmetic,1000000,5,OP_LOOP,1000000
arithmetic,1000000,5,OP_RETURN,1
arithmetic,100000,1,OP_CONSTANT,500003
arithmetic,100000,1,OP_NIL,1
arithmetic,100000,1,OP_POP,600001
arithmetic,100000,1,OP_GET_GLOBAL,700003
arithmetic,100000,1,OP_DEFINE_GLOBAL,3
arithmetic,100000,1,OP_SET_GLOBAL,500000
arithmetic,100000,1,OP_LESS,100001
arithmetic,100000,1,OP_ADD,200000
arithmetic,100000,1,OP_SUBTRACT,100000
arithmetic,100000,1,OP_MULTIPLY,100000
arithmetic,100000,1,OP_DIVIDE,100000
arithmetic,100000,1,OP_PRINT,1
arithmetic,100000,1,OP_JUMP_IF_FALSE,100001
arithmetic,100000,1,OP_LOOP,100000
arithmetic,100000,1,OP_RETURN,1
arithmetic,100000,2,OP_CONSTANT,500003
arithmetic,100000,2,OP_NIL,1
arithmetic,100000,2,OP_POP,600001
arithmetic,100000,2,OP_GET_GLOBAL,700003
arithmetic,100000,2,OP_DEFINE_GLOBAL,3
arithmetic,100000,2,OP_SET_GLOBAL,500000
arithmetic,100000,2,OP_LESS,100001
arithmetic,100000,2,OP_ADD,200000
arithmetic,100000,2,OP_SUBTRACT,100000
arithmetic,100000,2,OP_MULTIPLY,100000
arithmetic,100000,2,OP_DIVIDE,100000
arithmetic,100000,2,OP_PRINT,1
arithmetic,100000,2,OP_JUMP_IF_FALSE,100001
arithmetic,100000,2,OP_LOOP,100000
arithmetic,100000,2,OP_RETURN,1
arithmetic,100000,3,OP_CONSTANT,500003
arithmetic,100000,3,OP_NIL,1
arithmetic,100000,3,OP_POP,600001
arithmetic,100000,3,OP_GET_GLOBAL,700003
arithmetic,100000,3,OP_DEFINE_GLOBAL,3
arithmetic,100000,3,OP_SET_GLOBAL,500000
arithmetic,100000,3,OP_LESS,100001
arithmetic,100000,3,OP_ADD,200000
arithmetic,100000,3,OP_SUBTRACT,100000
arithmetic,100000,3,OP_MULTIPLY,100000
arithmetic,100000,3,OP_DIVIDE,100000
arithmetic,100000,3,OP_PRINT,1
arithmetic,100000,3,OP_JUMP_IF_FALSE,100001
arithmetic,100000,3,OP_LOOP,100000
