benchmark,input_size,opcode,mean_count,std_count,min_count,max_count,percentage_of_opcodes
arithmetic,1000000,OP_SUBTRACT,1000000.0,0.0,1000000,1000000,3.225804890739569
arithmetic,10000000,OP_ADD,20000000.0,0.0,20000000,20000000,6.451612591051004
arithmetic,10000000,OP_CONSTANT,50000003.0,0.0,50000003,50000003,16.129032445369397
arithmetic,10000000,OP_DEFINE_GLOBAL,3.0,0.0,3,3,9.677418886576505e-07
arithmetic,10000000,OP_DIVIDE,10000000.0,0.0,10000000,10000000,3.225806295525502
arithmetic,10000000,OP_GET_GLOBAL,70000003.0,0.0,70000003,70000003,22.580645036420403
arithmetic,10000000,OP_JUMP_IF_FALSE,10000001.0,0.0,10000001,10000001,3.2258066181061316
arithmetic,10000000,OP_LESS,10000001.0,0.0,10000001,10000001,3.2258066181061316
arithmetic,10000000,OP_LOOP,10000000.0,0.0,10000000,10000000,3.225806295525502
arithmetic,10000000,OP_MULTIPLY,10000000.0,0.0,10000000,10000000,3.225806295525502
arithmetic,10000000,OP_NIL,1.0,0.0,1,1,3.2258062955255016e-07
arithmetic,10000000,OP_POP,60000001.0,0.0,60000001,60000001,19.35483809573364
arithmetic,10000000,OP_PRINT,1.0,0.0,1,1,3.2258062955255016e-07
arithmetic,10000000,OP_RETURN,1.0,0.0,1,1,3.2258062955255016e-07
arithmetic,10000000,OP_SET_GLOBAL,50000000.0,0.0,50000000,50000000,16.12903147762751
arithmetic,10000000,OP_SUBTRACT,10000000.0,0.0,10000000,10000000,3.225806295525502
closures,1000,OP_ADD,2001.0,0.0,2001,2001,9.514978601997147
closures,1000,OP_CALL,1002.0,0.0,1002,1002,4.764621968616263
closures,1000,OP_CLOSURE,2.0,0.0,2,2,0.009510223490252021
closures,1000,OP_CONSTANT,2004.0,0.0,2004,2004,9.529243937232525
closures,1000,OP_DEFINE_GLOBAL,4.0,0.0,4,4,0.019020446980504042
closures,1000,OP_GET_GLOBAL,4004.0,0.0,4004,4004,19.039467427484546
closures,1000,OP_GET_LOCAL,1.0,0.0,1,1,0.004755111745126011
closures,1000,OP_GET_UPVALUE,2002.0,0.0,2002,2002,9.519733713742273
closures,1000,OP_JUMP_IF_FALSE,1001.0,0.0,1001,1001,4.759866856871136
closures,1000,OP_LESS,1001.0,0.0,1001,1001,4.759866856871136
closures,1000,OP_LOOP,1000.0,0.0,1000,1000,4.75511174512601
closures,1000,OP_NIL,1.0,0.0,1,1,0.004755111745126011
closures,1000,OP_POP,4002.0,0.0,4002,4002,19.029957203994293
closures,1000,OP_PRINT,1.0,0.0,1,1,0.004755111745126011
closures,1000,OP_RETURN,1003.0,0.0,1003,1003,4.769377080361389
closures,1000,OP_SET_GLOBAL,1000.0,0.0,1000,1000,4.75511174512601
closures,1000,OP_SET_UPVALUE,1001.0,0.0,1001,1001,4.759866856871136
closures,10000,OP_ADD,20001.0,0.0,20001,20001,9.52292529638623
closures,10000,OP_CALL,10002.0,0.0,10002,10002,4.76217683188116
closures,10000,OP_CLOSURE,2.0,0.0,2,2,0.0009522449173927534
closures,10000,OP_CONSTANT,20004.0,0.0,20004,20004,9.52435366376232
closures,10000,OP_DEFINE_GLOBAL,4.0,0.0,4,4,0.0019044898347855069
closures,10000,OP_GET_GLOBAL,40004.0,0.0,40004,40004,19.046802837689857
closures,10000,OP_GET_LOCAL,1.0,0.0,1,1,0.0004761224586963767
closures,10000,OP_GET_UPVALUE,20002.0,0.0,20002,20002,9.523401418844928
closures,10000,OP_JUMP_IF_FALSE,10001.0,0.0,10001,10001,4.761700709422464
closures,10000,OP_LESS,10001.0,0.0,10001,10001,4.761700709422464
closures,10000,OP_LOOP,10000.0,0.0,10000,10000,4.761224586963767
closures,10000,OP_NIL,1.0,0.0,1,1,0.0004761224586963767
closures,10000,OP_POP,40002.0,0.0,40002,40002,19.04585059277246
closures,10000,OP_PRINT,1.0,0.0,1,1,0.0004761224586963767
closures,10000,OP_RETURN,10003.0,0.0,10003,10003,4.762652954339856
closures,10000,OP_SET_GLOBAL,10000.0,0.0,10000,10000,4.761224586963767
closures,10000,OP_SET_UPVALUE,10001.0,0.0,10001,10001,4.761700709422464
closures,100000,OP_ADD,200001.0,0.0,200001,200001,9.523721089698718
closures,100000,OP_CALL,100002.0,0.0,100002,100002,4.761931972400394
closures,100000,OP_CLOSURE,2.0,0.0,2,2,9.523673471331362e-05
closures,100000,OP_CONSTANT,200004.0,0.0,200004,200004,9.523863944800787
closures,100000,OP_DEFINE_GLOBAL,4.0,0.0,4,4,0.00019047346942662724
closures,100000,OP_GET_GLOBAL,400004.0,0.0,400004,400004,19.04753741613215
closures,100000,OP_GET_LOCAL,1.0,0.0,1,1,4.761836735665681e-05
closures,100000,OP_GET_UPVALUE,200002.0,0.0,200002,200002,9.523768708066076
closures,100000,OP_JUMP_IF_FALSE,100001.0,0.0,100001,100001,4.761884354033038
closures,100000,OP_LESS,100001.0,0.0,100001,100001,4.761884354033038
closures,100000,OP_LOOP,100000.0,0.0,100000,100000,4.761836735665681
closures,100000,OP_NIL,1.0,0.0,1,1,4.761836735665681e-05
closures,100000,OP_POP,400002.0,0.0,400002,400002,19.047442179397436
closures,100000,OP_PRINT,1.0,0.0,1,1,4.761836735665681e-05
closures,100000,OP_RETURN,100003.0,0.0,100003,100003,4.761979590767751
closures,100000,OP_SET_GLOBAL,100000.0,0.0,100000,100000,4.761836735665681
closures,100000,OP_SET_UPVALUE,100001.0,0.0,100001,100001,4.761884354033038
closures,1000000,OP_ADD,2000001.0,0.0,2000001,2000001,9.523800680284742
closures,1000000,OP_CALL,1000002.0,0.0,1000002,1000002,4.761907482989311
closures,1000000,OP_CLOSURE,2.0,0.0,2,2,9.523795918386782e-06
closures,1000000,OP_CONSTANT,2000004.0,0.0,2000004,2000004,9.523814965978621
closures,1000000,OP_DEFINE_GLOBAL,4.0,0.0,4,4,1.9047591836773565e-05
closures,1000000,OP_GET_GLOBAL,4000004.0,0.0,4000004,4000004,19.047610884365405
